[14/01/2015 16:41:33] /n account manager
[14/01/2015 16:47:28] /t
[15/01/2015 10:11:15] /newtype
[15/01/2015 10:16:07] /newtype
[15/01/2015 10:35:51] /kick sorcerer 18
[15/01/2015 10:36:27] /kick druid 07
[15/01/2015 10:38:10] /reload creatureevents
[15/01/2015 10:38:14] /kick all
[15/01/2015 10:38:26] /kick druid 07
[15/01/2015 10:38:32] /kick knight 10
[15/01/2015 10:38:37] /kick sorcerer 19
[15/01/2015 10:45:26] /i sprite wand
[15/01/2015 10:45:29] /m monk
[15/01/2015 10:46:12] /i wand of inferno
[15/01/2015 10:48:43] /reload creatureevents
[15/01/2015 10:49:29] /i spellbook
[15/01/2015 10:49:54] /i sprite wand
[15/01/2015 10:52:34] /kick druid 07
[15/01/2015 10:55:56] /reload spells
[15/01/2015 11:01:54] /kick sorcerer 18
[15/01/2015 11:03:54] /reload spells
[15/01/2015 11:11:39] /goto druid 07
[15/01/2015 11:11:50] /a 2
[15/01/2015 11:12:05] /a 4
[15/01/2015 11:12:13] /up
[15/01/2015 11:12:14] /up
[15/01/2015 11:12:43] /goto sorcerer 01
[15/01/2015 11:13:05] /a 2
[15/01/2015 11:19:03] /goto druid 07
[15/01/2015 11:31:00] /kick sorcerer 01
[15/01/2015 12:19:09] /goto druid 01
[15/01/2015 12:20:02] /a 1
[15/01/2015 12:20:04] /up
[15/01/2015 12:21:01] /a 5
[15/01/2015 12:21:34] /a 1
[15/01/2015 12:21:37] /a 1
[15/01/2015 12:23:23] /goto druid 01
[16/01/2015 00:23:21] /goto sorcerer 01
[16/01/2015 00:23:50] /a 2
[16/01/2015 00:23:52] /a 2
[16/01/2015 00:23:54] /up
[16/01/2015 00:23:58] /c sorcerer 01
[16/01/2015 00:24:18] /down
[16/01/2015 00:24:21] /a 4
[16/01/2015 00:24:25] /c sorcerer 01
[16/01/2015 00:26:14] /t
[16/01/2015 00:28:52] /i winged tiara
[16/01/2015 00:30:00] /i winged tiara
[16/01/2015 04:13:32] /goto sorcerer 19
[16/01/2015 04:14:36] /c sorcerer 19
[16/01/2015 04:17:40] /c sorcerer 01
[16/01/2015 04:18:41] /goto sorcerer 01
[16/01/2015 04:18:55] /goto sorcerer 01
[16/01/2015 04:21:34] /goto sorcerer 01
[16/01/2015 04:34:25] /goto 876,875,12
[16/01/2015 04:34:36] /addskill Yamahation, magic, 99
[16/01/2015 04:34:48] /addskill Yamahation, level, 299
[16/01/2015 04:34:57] /addskill Yamahation, magic
[16/01/2015 04:34:59] /addskill Yamahation, magic
[16/01/2015 04:35:09] /addskill Yamahation, magic, 99
[16/01/2015 04:35:19] /addskill Yamahation, magic
[16/01/2015 04:35:20] /addskill Yamahation, magic
[16/01/2015 04:35:20] /addskill Yamahation, magic
[16/01/2015 04:35:20] /addskill Yamahation, magic
[16/01/2015 04:35:20] /addskill Yamahation, magic
[16/01/2015 04:35:20] /addskill Yamahation, magic
[16/01/2015 04:35:20] /addskill Yamahation, magic
[16/01/2015 04:35:20] /addskill Yamahation, magic
[16/01/2015 04:35:20] /addskill Yamahation, magic
[16/01/2015 04:35:20] /addskill Yamahation, magic
[16/01/2015 04:35:20] /addskill Yamahation, magic
[16/01/2015 04:35:20] /addskill Yamahation, magic
[16/01/2015 04:35:20] /addskill Yamahation, magic
[16/01/2015 04:35:20] /addskill Yamahation, magic
[16/01/2015 04:35:20] /addskill Yamahation, magic
[16/01/2015 04:35:20] /addskill Yamahation, magic
[16/01/2015 04:35:21] /addskill Yamahation, magic
[16/01/2015 04:35:21] /addskill Yamahation, magic
[16/01/2015 04:35:21] /addskill Yamahation, magic
[16/01/2015 04:35:21] /addskill Yamahation, magic
[16/01/2015 04:35:21] /addskill Yamahation, magic
[16/01/2015 04:35:21] /addskill Yamahation, magic
[16/01/2015 04:35:21] /addskill Yamahation, magic
[16/01/2015 04:35:21] /addskill Yamahation, magic
[16/01/2015 04:35:21] /addskill Yamahation, magic
[16/01/2015 04:35:21] /addskill Yamahation, magic
[16/01/2015 04:35:21] /addskill Yamahation, magic
[16/01/2015 04:35:21] /addskill Yamahation, magic
[16/01/2015 04:35:21] /addskill Yamahation, magic
[16/01/2015 04:35:21] /addskill Yamahation, magic
[16/01/2015 04:35:21] /addskill Yamahation, magic
[16/01/2015 04:35:21] /addskill Yamahation, magic
[16/01/2015 04:35:21] /addskill Yamahation, magic
[16/01/2015 04:35:21] /addskill Yamahation, magic
[16/01/2015 04:35:21] /addskill Yamahation, magic
[16/01/2015 04:35:21] /addskill Yamahation, magic
[16/01/2015 04:35:21] /addskill Yamahation, magic
[16/01/2015 04:35:21] /addskill Yamahation, magic
[16/01/2015 04:35:21] /addskill Yamahation, magic
[16/01/2015 04:35:22] /addskill Yamahation, magic
[16/01/2015 04:35:22] /addskill Yamahation, magic
[16/01/2015 04:35:22] /addskill Yamahation, magic
[16/01/2015 04:35:22] /addskill Yamahation, magic
[16/01/2015 04:35:22] /addskill Yamahation, magic
